uniprot_id	gene_name	is_paralog	n_pathways	shannon_H	shannon_H_norm	global_degree	mean_local_degree	max_local_degree	mean_ratio	bridge_score	betweenness	cross_ppi_count	betweenness_raw
P19784	CSNK2A2	False	66	3.387913	0.808638	676	45.0758	194	0.06668	1993	0.00064	234	104416.35236790591
P68400	CSNK2A1	False	66	3.387913	0.808638	872	55.8939	250	0.064099	1993	0.00119	287	194711.3300847585
Q92830	KAT2A	False	46	3.387601	0.884805	173	19.6304	77	0.113471	948	6e-05	42	9525.116884907062
Q99075	HBEGF	False	50	3.387033	0.865801	14	1.36	5	0.097143	1110	0.0	7	238.91013023230147
P61077	UBE2D3	False	48	3.385877	0.874632	307	30.0208	146	0.097788	1025	0.00018	88	29510.797716198
P42229	STAT5A	False	42	3.385371	0.905744	94	8.6429	54	0.091945	764	0.00026	28	42726.80731890578
Q14203	DCTN1	False	41	3.379729	0.910102	481	39.5854	108	0.082298	721	0.0003	237	49622.22043768633
P61981	YWHAG	False	61	3.378934	0.82195	1185	55.6885	351	0.046995	1671	0.00174	567	284002.7781232692
P46527	CDKN1B	False	52	3.375395	0.854261	129	18.1538	56	0.140728	1208	5e-05	35	7378.936774352932
P30260	CDC27	False	47	3.374171	0.876375	235	34.7447	89	0.14785	937	0.00014	81	22221.48102012227
Q13042	CDC16	False	47	3.374171	0.876375	226	26.7872	62	0.118528	937	8e-05	105	12341.9650075342
Q8NHZ8	CDC26	False	47	3.374171	0.876375	48	14.8511	22	0.309397	937	1e-05	14	1164.0309089841573
Q9H1A4	ANAPC1	False	47	3.374171	0.876375	150	24.234	50	0.16156	937	6e-05	66	9279.935910081
Q9NYG5	ANAPC11	False	47	3.374171	0.876375	78	18.9787	35	0.243317	937	3e-05	32	4632.18310493426
Q9UJX2	CDC23	False	47	3.374171	0.876375	235	26.5745	58	0.113083	937	0.00019	130	31444.8588174751
Q9UJX3	ANAPC7	False	47	3.374171	0.876375	167	26.0213	61	0.155816	937	4e-05	63	6015.3917841296625
Q9UJX4	ANAPC5	False	47	3.374171	0.876375	135	24.8511	50	0.184082	937	6e-05	53	9181.246021749244
Q9UJX5	ANAPC4	False	47	3.374171	0.876375	124	25.9574	52	0.209334	937	4e-05	50	6148.088113433659
Q9UJX6	ANAPC2	False	47	3.374171	0.876375	229	27.9574	61	0.122085	937	5e-05	114	7925.126297780848
Q9UM13	ANAPC10	False	47	3.374171	0.876375	68	17.1702	33	0.252503	937	1e-05	26	2177.5979381030597
Q14191	WRN	False	43	3.373816	0.897005	101	17.7442	52	0.175685	777	1e-05	29	1381.0200907765884
P61586	RHOA	False	56	3.373507	0.838065	1264	61.2321	404	0.048443	1409	0.00231	594	376770.10186573816
P53350	PLK1	False	49	3.373011	0.866693	827	53.3673	240	0.064531	1029	0.00102	423	166322.01400453167
O60934	NBN	False	43	3.372017	0.896527	184	29.2093	78	0.158746	787	5e-05	58	8798.598017185028
Q92878	RAD50	False	43	3.372017	0.896527	375	29.8372	112	0.079566	787	0.00025	187	40932.68543053713
Q16537	PPP2R5E	False	55	3.369192	0.840757	109	10.5818	29	0.097081	1346	4e-05	59	7199.212377895947
