uniprot_id	gene_name	is_paralog	n_pathways	shannon_H	shannon_H_norm	global_degree	mean_local_degree	max_local_degree	mean_ratio	bridge_score	betweenness	cross_ppi_count	betweenness_raw	cluster	taxonomy	umap_x	umap_y
Q9Y297	BTRC	False	86	4.080335	0.916034	741	39.6395	244	0.053495	3384	0.00083	244	136077.13101605154	2	structural_hub	11.6948	12.3481
O00459	PIK3R2	False	100	4.079119	0.885769	228	19.84	112	0.087018	4705	0.00013	55	21430.20867781699	1	pathway_bridge	14.5074	4.0841
P63000	RAC1	False	106	4.05428	0.869376	1200	48.7358	420	0.040613	5294	0.00198	490	322575.5990015701	2	structural_hub	10.2337	15.4526
O15514	POLR2D	False	78	4.027025	0.924327	144	19.8205	77	0.137642	2759	2e-05	37	3698.9323535028952	1	pathway_bridge	14.5233	2.4202
P19387	POLR2C	False	78	4.027025	0.924327	334	31.6538	135	0.094772	2759	0.00016	107	26214.56029188958	2	structural_hub	13.4341	5.7375
P24928	POLR2A	False	78	4.027025	0.924327	612	53.9744	260	0.088193	2759	0.0005	189	80795.71834041429	2	structural_hub	12.2293	10.5093
P30876	POLR2B	False	78	4.027025	0.924327	372	33.3205	144	0.089571	2759	0.00015	126	24764.92408580339	2	structural_hub	13.7594	5.3633
P36954	POLR2I	False	78	4.027025	0.924327	123	17.9872	68	0.146237	2759	1e-05	29	1795.6138617522415	1	pathway_bridge	14.3811	2.155
P52435	POLR2J	False	78	4.027025	0.924327	147	19.2949	67	0.131258	2759	8e-05	48	12971.937634753343	1	pathway_bridge	14.2832	3.1075
P62487	POLR2G	False	78	4.027025	0.924327	174	21.6026	85	0.124153	2759	5e-05	57	7866.435411387794	1	pathway_bridge	14.553	2.6689
O75694	NUP155	False	79	4.021101	0.920277	518	36.5063	127	0.070476	2845	0.00033	235	53481.797956433955	2	structural_hub	12.5922	8.2168
P37198	NUP62	False	79	4.021101	0.920277	265	26.3924	74	0.099594	2845	0.00014	121	23049.238793721524	1	pathway_bridge	14.414	4.2251
Q5SRE5	NUP188	False	79	4.021101	0.920277	155	16.4937	52	0.106411	2845	2e-05	61	3942.344374386092	1	pathway_bridge	14.4019	2.4379
Q7Z3B4	NUP54	False	79	4.021101	0.920277	122	13.8861	35	0.11382	2845	5e-05	55	8098.226056914103	1	pathway_bridge	14.4948	2.6629
Q8N1F7	NUP93	False	79	4.021101	0.920277	272	26.7848	87	0.098473	2845	8e-05	104	12853.492381460956	1	pathway_bridge	14.3906	3.5537
Q8NFH5	NUP35	False	79	4.021101	0.920277	428	35.443	103	0.082811	2845	0.00029	198	46991.93396047989	2	structural_hub	12.6562	8.034
Q92621	NUP205	False	79	4.021101	0.920277	263	24.9241	80	0.094768	2845	0.0001	106	17073.300610735187	1	pathway_bridge	14.3903	3.6945
Q96HA1	POM121	False	79	4.021101	0.920277	152	11.8228	39	0.077782	2845	0.00011	82	17719.977546246308	1	pathway_bridge	14.4224	3.8592
Q9BTX1	NDC1	False	79	4.021101	0.920277	218	12.8608	52	0.058994	2845	7e-05	98	10929.112511694637	1	pathway_bridge	14.3593	3.3901
Q9BVL2	NUP58	False	79	4.021101	0.920277	92	15.2785	28	0.16607	2845	3e-05	42	4854.08119322707	1	pathway_bridge	14.5446	2.4304
P35222	CTNNB1	False	96	4.016694	0.880015	975	53.1979	357	0.054562	4319	0.00189	240	307679.2374652576	2	structural_hub	10.252	15.4203
P07900	HSP90AA1	False	104	4.012002	0.863838	1279	54.7308	383	0.042792	5106	0.00416	418	677854.4887954562	2	structural_hub	9.7746	16.3128
P19838	NFKB1	False	96	4.011722	0.878926	280	21.8542	99	0.078051	4248	0.00014	82	22532.638904050313	1	pathway_bridge	14.5283	4.0884
P08620	FGF4	False	73	4.011657	0.935018	39	1.137	15	0.029153	2368	0.0	19	684.8731931177865	1	pathway_bridge	13.9252	1.8334
P12270	TPR	False	78	4.010722	0.920585	275	23.5769	105	0.085734	2779	0.0001	85	16853.792462214114	1	pathway_bridge	14.3975	3.7075
P62873	GNB1	False	82	4.009496	0.90986	292	24.6098	118	0.08428	3129	0.00031	79	50272.82540668002	2	structural_hub	12.6315	8.0877
Q9NRG9	AAAS	False	80	4.003244	0.91356	167	12.4875	53	0.074775	2932	4e-05	52	6181.138139622807	1	pathway_bridge	14.3679	2.5576
P68363	TUBA1B	False	88	3.995298	0.892338	478	33.8182	158	0.070749	3612	0.0004	128	64621.1708010975	2	structural_hub	12.2806	10.1609
P06241	FYN	False	95	3.993459	0.876936	369	21.4211	129	0.058052	4213	0.00049	144	79206.64854944142	2	structural_hub	12.2771	10.4714
P16220	CREB1	False	98	3.990449	0.870333	223	13.5	78	0.060538	4422	0.00013	70	20669.962650341644	1	pathway_bridge	14.5231	4.0461
P35658	NUP214	False	76	3.988447	0.920963	197	32.1447	84	0.163171	2631	4e-05	60	6426.141093226639	1	pathway_bridge	14.5968	2.5673
Q04206	RELA	False	96	3.982936	0.872619	1177	52.3333	289	0.044463	4291	0.00245	469	398762.1266926963	2	structural_hub	10.0168	15.9044
Q13509	TUBB3	False	87	3.982281	0.891707	449	26.4598	124	0.058931	3528	0.00076	156	124092.64768065196	2	structural_hub	11.7211	12.2259
Q13885	TUBB2A	False	87	3.982281	0.891707	306	23.7241	92	0.07753	3528	0.00013	102	20705.55060231769	1	pathway_bridge	14.4836	4.04
Q9BQE3	TUBA1C	False	87	3.982281	0.891707	469	28.9425	130	0.061711	3528	0.00033	175	53509.32275280918	2	structural_hub	12.6316	8.1761
Q9BUF5	TUBB6	False	87	3.982281	0.891707	248	15.6322	76	0.063033	3528	8e-05	77	13237.666495017991	1	pathway_bridge	14.3956	3.4572
Q9BVA1	TUBB2B	False	87	3.982281	0.891707	213	19.2414	70	0.090335	3528	0.00012	73	19764.21355268086	1	pathway_bridge	14.4459	3.9402
Q9H4B7	TUBB1	False	87	3.982281	0.891707	136	8.8621	34	0.065162	3528	9e-05	61	14316.926062109482	1	pathway_bridge	14.4107	3.469
P27694	RPA1	False	80	3.977067	0.907586	3041	88.85	730	0.029217	2951	0.00653	1545	1063749.8869922427	2	structural_hub	9.6265	16.5355
Q09028	RBBP4	False	84	3.973185	0.896716	565	43.7024	161	0.077349	3282	0.00039	179	63961.708266881586	2	structural_hub	12.2886	10.0558
O15504	NUP42	False	75	3.970566	0.919647	144	13.32	49	0.0925	2557	1e-05	49	2121.0857302086824	1	pathway_bridge	14.2409	2.274
P49790	NUP153	False	75	3.970566	0.919647	226	35.96	93	0.159115	2557	5e-05	70	7335.060851681497	1	pathway_bridge	14.5722	2.6578
P78406	RAE1	False	75	3.970566	0.919647	233	28.68	80	0.12309	2557	0.0001	69	15932.184817431631	1	pathway_bridge	14.312	3.7035
Q8TEM1	NUP210	False	75	3.970566	0.919647	208	12.3333	56	0.059295	2557	9e-05	92	14004.159327006026	1	pathway_bridge	14.4114	3.5705
Q99567	NUP88	False	75	3.970566	0.919647	142	22.4667	51	0.158216	2557	3e-05	49	5130.160663661663	1	pathway_bridge	14.5402	2.4885
Q9UKX7	NUP50	False	75	3.970566	0.919647	344	25.3467	101	0.073682	2557	0.00011	148	18682.588152236065	1	pathway_bridge	14.3705	3.8404
Q9P2W3	GNG13	False	78	3.970059	0.911252	34	4.359	7	0.128205	2820	1e-05	24	1010.9901605483442	1	pathway_bridge	13.9975	1.6713
Q9GZV9	FGF23	False	71	3.966966	0.930627	4	1.3662	3	0.341549	2230	0.0	1	47.72571994654314	1	pathway_bridge	12.5213	-0.7067
P55075	FGF8	False	70	3.966555	0.933638	105	2.0429	18	0.019456	2154	1e-05	78	1462.8864757489484	1	pathway_bridge	14.1573	2.3112
P16520	GNB3	False	77	3.964345	0.912643	44	14.1169	28	0.320838	2744	0.00012	7	20176.54684379435	2	structural_hub	12.9269	4.8689
P05230	FGF1	False	68	3.958662	0.938181	39	2.6029	18	0.066742	2021	0.0	17	735.3549696636063	1	pathway_bridge	14.0044	1.8571
P19174	PLCG1	False	82	3.953439	0.897139	227	15.7683	98	0.069464	3113	0.00014	72	22104.080181987727	1	pathway_bridge	14.4598	4.1441
P42677	RPS27	False	69	3.952579	0.93351	355	54.5942	141	0.153786	2168	0.00014	95	23522.60625208172	2	structural_hub	14.1257	6.0844
Q16576	RBBP7	False	76	3.948457	0.91173	507	42.8289	157	0.084475	2678	0.00047	136	76795.63103201902	2	structural_hub	12.2561	10.3885
P31751	AKT2	False	92	3.94548	0.872548	120	10.1522	48	0.084601	3956	6e-05	36	10287.688020888352	1	pathway_bridge	14.4242	3.0145
