gene1	gene2	annotation	direction	score	ann_class	shared_pathways	pathway_type	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	betweenness_g1	betweenness_g2	taxonomy_g1	taxonomy_g2	mean_global_degree	mean_betweenness
ACTA1	MYH14	complex; input	-	1.0	complex	0	inter	14	16	13.643	17.0	15.321	0.047	0.0821	290	207	0.000168559618133475	5.696095364192869e-05	pathway_bridge	pathway_bridge	248.5	0.00011276028588770184
ACTA1	MYH2	complex; input	-	1.0	complex	0	inter	14	11	13.643	3.091	8.367	0.047	0.0687	290	45	0.000168559618133475	3.981800638007852e-06	pathway_bridge	pathway_bridge	167.5	8.627070938574142e-05
ACTA1	MYH9	complex; input	-	1.0	complex	0	inter	14	39	13.643	57.667	35.655	0.047	0.0752	290	767	0.000168559618133475	0.0011929957167701715	pathway_bridge	structural_hub	528.5	0.0006807776674518232
ACTA1	NFATC1	catalyzed by	<-	1.0	catalyze	0	inter	14	17	13.643	14.647	14.145	0.047	0.0927	290	158	0.000168559618133475	4.777183472735749e-05	pathway_bridge	pathway_bridge	224.0	0.00010816572643041625
ACTA1	NFATC2	catalyzed by	<-	1.0	catalyze	0	inter	14	18	13.643	22.0	17.821	0.047	0.1128	290	195	0.000168559618133475	2.1972260579608766e-05	pathway_bridge	pathway_bridge	242.5	9.526593935654188e-05
ACTA1	NFATC3	catalyzed by	<-	1.0	catalyze	0	inter	14	10	13.643	2.7	8.171	0.047	0.0643	290	42	0.000168559618133475	2.200961790107053e-06	pathway_bridge	pathway_bridge	166.0	8.538028996179103e-05
ACTA1	PCDH15	complex; input	-	1.0	complex	0	inter	14	4	13.643	0.0	6.821	0.047	0.0	290	5	0.000168559618133475	1.2333841160296387e-08	pathway_bridge	background	147.5	8.428597598731765e-05
ACTA1	PCDH7	complex; input	-	1.0	complex	0	inter	14	10	13.643	30.5	22.071	0.047	0.1078	290	283	0.000168559618133475	0.00011630025891001849	pathway_bridge	pathway_bridge	286.5	0.00014242993852174674
ACTA1	PRKN	predicted	-	0.91	predicted	0	inter	14	19	13.643	160.263	86.953	0.047	0.0477	290	3362	0.000168559618133475	0.018544385682436836	pathway_bridge	structural_hub	1826.0	0.009356472650285155
ACTA1	RHOG	catalyzed by	<-	1.0	catalyze	0	inter	14	21	13.643	68.286	40.964	0.047	0.076	290	899	0.000168559618133475	0.0008330469333690917	pathway_bridge	pathway_bridge	594.5	0.0005008032757512833
